Reactants_SMILES,Products_SMILES,Reaction_SMILES,RXN:RCT:CAS_RN,RXN:PRO:CAS_RN,RXN:VAR:CAS_Reaction_Number,RXN:VAR:STEPS,RXN:VAR:STAGES,RXN:VAR:PRO:YIELD,RXN:VAR:RGT:CAS_RN,RXN:VAR:SOL:CAS_RN,RXN:VAR:NOTES,RXN:VAR:REFERENCE:TITLE,RXN:VAR:REFERENCE:AUTHOR,RXN:VAR:REFERENCE:CITATION,RXN:VAR:CAT:CAS_RN,RXN:VAR:EXP_PROC,RXN:VAR:RGT:AMD,RXN:VAR:CAT:AMD,RXN:RCT:AMD,RXN:PRO:AMD
COc1ccc(C(C)=O)cc1,CC1(C)OBOC1(C)C.COc1ccc(C(C)OB2OC(C)(C)C(C)(C)O2)cc1,COc1ccc(C(C)=O)cc1>>CC1(C)OBOC1(C)C.COc1ccc(C(C)OB2OC(C)(C)C(C)(C)O2)cc1,"['100-06-1', '25015-63-8']",1566593-64-3,31-614-CAS-30486573,1,2,100,,109-99-9,"regioselective, reaction in glove box in stage 1,reaction in a Schlenk",Stabilization of active metal catalysts at metal-organic framework nodes,"Lin, Wenbin; Manna, Kuntal; Ji, Pengfei","World Intellectual Property Organization, WO2017066328 A1 2017-04-20","['17979-81-6', '1072413-85-4']",,,reaction products with cobalt dichloride,,
COc1ccc(C(C)=O)cc1,CC1(C)OBOC1(C)C.COc1ccc(C(C)OB2OC(C)(C)C(C)(C)O2)cc1,COc1ccc(C(C)=O)cc1>>CC1(C)OBOC1(C)C.COc1ccc(C(C)OB2OC(C)(C)C(C)(C)O2)cc1,"['100-06-1', '25015-63-8']",1566593-64-3,31-614-CAS-25940847,1,1,100,,108-88-3,"catalyst prepared and used, sealed tube used",Aluminum Monohydride Catalyzed Selective Hydroboration of Carbonyl,"Jakhar, Vineet Kumar; Barman, Milan Kr.; Nembenna, Sharanappa","Organic Letters (2016), 18(18), 4710-4713",1996646-57-1,,,,,
COc1ccc(C(C)=O)cc1,CC1(C)OBOC1(C)C.COc1ccc(C(C)OB2OC(C)(C)C(C)(C)O2)cc1,COc1ccc(C(C)=O)cc1>>CC1(C)OBOC1(C)C.COc1ccc(C(C)OB2OC(C)(C)C(C)(C)O2)cc1,"['100-06-1', '25015-63-8']",1566593-64-3,31-614-CAS-27473159,1,1,100,,110-54-3,alternative reaction conditions shown,Metal-Organic Framework Nodes Support Single-Site Magnesium-Alkyl,"Manna, Kuntal; Ji, Pengfei; Greene, Francis X.; Lin, Wenbin","Journal of the American Chemical Society (2016), 138(24), 7488-7491",1939104-75-2,,,,,
COc1ccc(C(C)=O)cc1,CC1(C)OBOC1(C)C.COc1ccc(C(C)OB2OC(C)(C)C(C)(C)O2)cc1,COc1ccc(C(C)=O)cc1>>CC1(C)OBOC1(C)C.COc1ccc(C(C)OB2OC(C)(C)C(C)(C)O2)cc1,"['100-06-1', '25015-63-8']",1566593-64-3,31-614-CAS-30401596,1,2,100,17979-81-6,"['109-99-9', '110-54-3']",glove box used,Metal-Organic Frameworks Stabilize Solution-Inaccessible Cobalt Catalysts,"Zhang, Teng; Manna, Kuntal; Lin, Wenbin","Journal of the American Chemical Society (2016), 138(9), 3241-3249",1659300-76-1,,,complex with CoCl2,,
COc1ccc(C(C)=O)cc1,CC1(C)OBOC1(C)C.COc1ccc(C(C)OB2OC(C)(C)C(C)(C)O2)cc1,COc1ccc(C(C)=O)cc1>>CC1(C)OBOC1(C)C.COc1ccc(C(C)OB2OC(C)(C)C(C)(C)O2)cc1,"['100-06-1', '25015-63-8']",1566593-64-3,31-614-CAS-28500520,1,2,100,17979-81-6,"['109-99-9', '110-54-3']","glovebox used, catalyst prepared and used, recyclable catalyst used,",Preparation of metal-organic frameworks containing nitrogen-donor ligands,"Lin, Wenbin; Manna, Kuntal; Zhang, Teng","World Intellectual Property Organization, WO2015149072 A1 2015-10-01",1659300-80-7,,,,,
CN(C)c1ccc(C=O)cc1,N#CCC#N.CN(C)c1ccc(C=C(C#N)C#N)cc1,CN(C)c1ccc(C=O)cc1>>N#CCC#N.CN(C)c1ccc(C=C(C#N)C#N)cc1,"['100-10-7', '109-77-3']",2826-28-0,31-333-CAS-4113774,1,1,100,,64-17-5,"green chemistry, Knoevenagel condensation","Synthesis of 3,4-dihydropyrano[c]chromene derivatives under catalyst-free","Wahlang, Barisha; Bora, Porag; Bez, Ghanashyam","Organic Chemistry: An Indian Journal (2015), 11(3), 83-90",,,,,,
CN(C)c1ccc(C=O)cc1,N#CCC#N.CN(C)c1ccc(C=C(C#N)C#N)cc1,CN(C)c1ccc(C=O)cc1>>N#CCC#N.CN(C)c1ccc(C=C(C#N)C#N)cc1,"['100-10-7', '109-77-3']",2826-28-0,31-333-CAS-11693621,1,1,100,,64-17-5,"green chemistry, green chemistry (- catalyst), green chemistry (-",Synthesis of on resin poly(propylene imine) dendrimer and its use as,"Gopalakrishna Panicker, Rajesh Krishnan; Krishnapillai, Sreekumar","Tetrahedron Letters (2014), 55(15), 2352-2354",65307-49-5,,,poly(propylene imine) functionalized,,
CN(C)c1ccc(C=O)cc1,N#CCC#N.CN(C)c1ccc(C=C(C#N)C#N)cc1,CN(C)c1ccc(C=O)cc1>>N#CCC#N.CN(C)c1ccc(C=C(C#N)C#N)cc1,"['100-10-7', '109-77-3']",2826-28-0,31-333-CAS-8740810,1,1,100,,64-17-5,"green chemistry, solid-supported catalyst, Knoevenagel condensation",First example of organocatalysis by polystyrene-supported PAMAM,"Krishnan, G. Rajesh; Sreekumar, Krishnapillai","European Journal of Organic Chemistry (2008), (28), 4763-4768","['9003-70-7', '26937-01-9']",,,"['aminomethylated, PAMAM-dendronized', 'polystyrene-supported']",,
C=Cc1ccc([N+](=O)[O-])cc1,O=[N+]([O-])c1ccc(C2CO2)cc1,C=Cc1ccc([N+](=O)[O-])cc1>>O=[N+]([O-])c1ccc(C2CO2)cc1,100-13-0,6388-74-5,31-279-CAS-1996255,1,1,100,7722-84-1,"['75-05-8', '7732-18-5']","incremental addition of H2O2 (every 15m), selective for oxidation,",Oxidation of styrene and of some derivatives with H2O2 catalyzed by novel,"De Paula, Rodrigo; Simoes, Mario M. Q.; Neves, M. Graca P. M. S.;","Journal of Molecular Catalysis A: Chemical (2011), 345(1-2), 1-11","['631-61-8', '91463-17-1']",,,,,
COc1ccc(C(C)=O)cc1,COc1ccc(C(C)O)cc1,COc1ccc(C(C)=O)cc1>>COc1ccc(C(C)O)cc1,100-06-1,3319-15-1,31-614-CAS-42040864,1,1,100,"['64-18-6', '141-53-7']",67-56-1,"catalyst prepared and used, Schlenk flask used",Organometallic Iridium-Complex-Functionalized Nanographene Catalysts for,"Zhao, Li-Jun; Zhang, Shixin; Zhou, Qing; Zhou, Hangyu; Zhao, Yue; Yang,","Inorganic Chemistry (2024), 63(41), 19047-19052","['12354-84-6', '491839-49-7', '1034343-98-0']",,,"['functionalized with carboxylated graphene and aminophenyl picolinamide', 'functionalized with carboxylated graphene and iridium complexes', 'carboxylated, functionalized with organo-iridium complexes']",,
COc1ccc(C(C)=O)cc1,COc1ccc(C(C)O)cc1,COc1ccc(C(C)=O)cc1>>COc1ccc(C(C)O)cc1,100-06-1,3319-15-1,31-614-CAS-38094182,1,3,100,"['694-53-1', '1310-73-2']","['109-99-9', '67-56-1', '7732-18-5']",inverse addition in-situ generated catalyst (stage 2),FeII complexes supported by an iminophosphorane ligand: synthesis and,"Tannoux, Thibault; Mazaud, Louis; Cheisson, Thibault; Casaretto, Nicolas;","Dalton Transactions (2023), 52(34), 12010-12019","['22560-21-0', '2987141-70-6', '2987141-73-9']",,,,,
COc1ccc(C(C)=O)cc1,COc1ccc(C(C)O)cc1,COc1ccc(C(C)=O)cc1>>COc1ccc(C(C)O)cc1,100-06-1,3319-15-1,31-513-CAS-18562385,1,1,100,"['865-47-4', '1333-74-0']",64-17-5,"high pressure, Endeavor Parr apparatus used, sealed vessel used,",Monocarbonyl ruthenium and osmium catalysts,"Baratta, Walter; Baldino, Salvatore; Giboulot, Steven","World Intellectual Property Organization, WO2017134618 A1 2017-08-10",2122155-82-0,,,,,
COc1ccc(C(C)=O)cc1,COc1ccc(C(C)O)cc1,COc1ccc(C(C)=O)cc1>>COc1ccc(C(C)O)cc1,100-06-1,3319-15-1,31-513-CAS-18383542,1,1,100,"['865-47-4', '1333-74-0']",67-56-1,"high pressure, Parr apparatus used, sealed vessel used, Parr autoclave",Dicarbonyl ruthenium and osmium catalysts,"Baratta, Walter; Baldino, Salvatore; Giboulot, Steven; Zhang, Shuanming","World Intellectual Property Organization, WO2017134620 A1 2017-08-10","['2622-14-2', '2121575-71-9']",,,,,
COc1ccc(C(C)=O)cc1,COc1ccc(C(C)O)cc1,COc1ccc(C(C)=O)cc1>>COc1ccc(C(C)O)cc1,100-06-1,3319-15-1,31-513-CAS-15979318,1,2,100,"['1310-58-3', '7647-01-0']","['67-63-0', '7732-18-5']",catalyst prepared and used,Synthesis and catalytic evaluation of ruthenium(II) benzhydrazone complex,"Manikandan, Thimma Sambamoorthy; Saranya, Sundar; Ramesh, Rengan","Tetrahedron Letters (2016), 57(33), 3764-3769",1974333-48-6,,,,,
COc1ccc(C(C)=O)cc1,COc1ccc(C(C)O)cc1,COc1ccc(C(C)=O)cc1>>COc1ccc(C(C)O)cc1,100-06-1,3319-15-1,31-513-CAS-15582577,1,2,100,1310-58-3,67-63-0,catalyst prepared and used,Piano-stool benzothiazol-2-ylidene Ru(II) complexes for effective,"Oruc, Zeynep Ipek; Gok, Lutfiye; Turkmen, Hayati; Sahin, Onur;","Journal of Organometallic Chemistry (2016), 80736-44",1883514-40-6,,,,,
COc1ccc(C(C)=O)cc1,COc1ccc(C(C)O)cc1,COc1ccc(C(C)=O)cc1>>COc1ccc(C(C)O)cc1,100-06-1,3319-15-1,31-513-CAS-5915044,1,3,100,"['998-30-1', '1310-73-2']",7732-18-5,"green chemistry-catalyst, solid-supported catalyst, no solvent, mechanism",Hydrosilylation of ketones catalyzed with Mg-Al-O-t-Bu hydrotalcite,"Chen, Yaoyun; Bai, Ying; Peng, Jiajian; Li, Jiayun; Lai, Guoqiao","Synthetic Communications (2011), 41(24), 3689-3694",865-47-4,"General/Typical Procedure: In a 10-mL reaction tube, 1.0 mmol of ketones",,reaction product with magnesium-aluminum hydrotalcite,,
COc1ccc(C(C)=O)cc1,COc1ccc(C(C)O)cc1,COc1ccc(C(C)=O)cc1>>COc1ccc(C(C)O)cc1,100-06-1,3319-15-1,31-513-CAS-4250679,1,3,100,"['865-47-4', '1333-74-0']","['68-12-2', '67-63-0']","stereoselective, alternative preparation shown, autoclave used, catalyst",Asymmetric hydrogenation of prochiral compounds,"De Vries, Johannes Gerardus; Stegink, Bart","World Intellectual Property Organization, WO2008077610 A1 2008-07-03","['52462-29-0', '804567-98-4', '29841-69-8']",General/Typical Procedure: EXAMPLES 5-15 A Schlenk flask was flame-dried,,,,
COc1ccc(C(C)=O)cc1,COc1ccc(C(C)O)cc1,COc1ccc(C(C)=O)cc1>>COc1ccc(C(C)O)cc1,100-06-1,3319-15-1,31-513-CAS-16828375,1,1,100,1333-74-0,64-17-5,"chemoselective, encapsulated palladium catalyst used",Encapsulated palladium catalysts,"Pears, David A.; Pitts, Michael R.; Treacher, Kevin E.","e-EROS Encyclopedia of Reagents for Organic Synthesis (2008), 1-5",7440-05-3,,,,,
COc1ccc(C(C)=O)cc1,COc1ccc(C(C)O)cc1,COc1ccc(C(C)=O)cc1>>COc1ccc(C(C)O)cc1,100-06-1,3319-15-1,31-513-CAS-20751338,1,2,100,"['683-60-3', '1333-74-0']",67-63-0,"sealed vial used, autoclave used, stereoselective, ee (89%)",Process for preparing nonracemic chiral alcohols by hydrogenation of,"Tucker, Charles Edward; Jiang, Qiongzhong","World Intellectual Property Organization, WO2003061825 A1 2003-07-31","['479-27-6', '186803-02-1']",,,Ru complex,,
COc1ccc(C(C)=O)cc1,COc1ccc(C(C)O)cc1,COc1ccc(C(C)=O)cc1>>COc1ccc(C(C)O)cc1,100-06-1,3319-15-1,31-513-CAS-15059569,1,2,100,"['1310-73-2', '1333-74-0']",7732-18-5,examg. catalysts for this hydrogenation that work in water,New water-soluble diamine complexes as catalysts for the hydrogenation of,"Penicaud, Virginie; Maillet, Celine; Janvier, Pascal; Pipelier, Muriel;","European Journal of Organic Chemistry (1999), (7), 1745-1748","['12112-67-3', '209624-11-3']",,,,,
COc1ccc(C(C)=O)cc1,COc1ccc(C(C)O)cc1,COc1ccc(C(C)=O)cc1>>COc1ccc(C(C)O)cc1,100-06-1,3319-15-1,31-513-CAS-9748701,1,1,100,"['1344-28-1', '16940-66-2']",110-54-3,moist alumina used,Alumina-assisted reduction of carbonyl compounds with sodium borohydride,"Yakabe, Shigetaka; Hirano, Masao; Morimoto, Takashi","Canadian Journal of Chemistry (1998), 76(12), 1916-1921",,,,,,
O=[N+]([O-])c1ccc(O)cc1,Nc1ccc(O)cc1,O=[N+]([O-])c1ccc(O)cc1>>Nc1ccc(O)cc1,100-02-7,123-30-8,31-614-CAS-42334755,1,1,100,16940-66-2,7732-18-5,catalyst prepared and used,Magnetically separable Bi2O2CO3/MIL-101(Fe)/CoFe2O4 nanostructured,"Rahnama, Nasrin; Farhadi, Saeed; Mahmoudi, Farzaneh","Materials Research Bulletin (2025), 182113133","['5892-10-4', '12052-28-7', '1189182-67-9']",,,,,
O=[N+]([O-])c1ccc(O)cc1,Nc1ccc(O)cc1,O=[N+]([O-])c1ccc(O)cc1>>Nc1ccc(O)cc1,100-02-7,123-30-8,31-614-CAS-42501997,1,1,100,7803-57-8,64-17-5,"photochemical, catalyst prepared and used, visible light (9 W) used",Photocatalytic reduction of nitroarene derivatives by impressive,"Okhovatkar, Melika; Masteri-Farahani, Majid; Niakan, Mahsa; Hosseini,","Journal of Physics and Chemistry of Solids (2025), 196112371","['1308-06-1', '1317-35-7']",,,,,
O=[N+]([O-])c1ccc(O)cc1,Nc1ccc(O)cc1,O=[N+]([O-])c1ccc(O)cc1>>Nc1ccc(O)cc1,100-02-7,123-30-8,31-614-CAS-43622770,1,1,100,,67-56-1,selectivity 98.1%,Crystal facet engineering of Pd/TiO2 to boost the activity and,"Liu, Zhichen; Yang, Zongxuan; Zhang, Hongwei; Wang, Shidong; Liu,","Chemical Engineering Journal (Amsterdam, Netherlands) (2025), 503158337","['7440-05-3', '13463-67-7']",,,,,
O=[N+]([O-])c1ccc(O)cc1,Nc1ccc(O)cc1,O=[N+]([O-])c1ccc(O)cc1>>Nc1ccc(O)cc1,100-02-7,123-30-8,31-614-CAS-40044065,1,1,100,16940-66-2,7732-18-5,"catalyst prepared and used, reusable catalyst, optimization study,",Facile Cu-MOF-derived Co3O4 mesoporous-structure as a cooperative,"Malmir, Masoume; Heravi, Majid M.; Shafiei Toran Poshti, Elham","Scientific Reports (2024), 14(1), 6846","['70-47-3', '142-71-2', '1308-06-1', '1034343-98-0']",,,"['reaction produts with copper acetate and graphene oxide', 'oxide, reaction produts with copper acetate and asparagine']",,
O=[N+]([O-])c1ccc(O)cc1,Nc1ccc(O)cc1,O=[N+]([O-])c1ccc(O)cc1>>Nc1ccc(O)cc1,100-02-7,123-30-8,31-614-CAS-39731628,1,1,100,16940-66-2,7732-18-5,"green chemistry-solvent, ionic liquid catalyst used, reusable catayst",Novel magnetic bimetallic AuCu catalyst for reduction of nitroarenes and,"Gholinejad, Mohammad; Bashirimousavi, Saba; Sansano, Jose M.","Scientific Reports (2024), 14(1), 5852","['2530-83-8', '13874-02-7']",,,"['functionalized with magnetic nanoparticles and AuCu', 'functionalized with magnetic nanoparticles and phos-IL']",,
O=[N+]([O-])c1ccc(O)cc1,Nc1ccc(O)cc1,O=[N+]([O-])c1ccc(O)cc1>>Nc1ccc(O)cc1,100-02-7,123-30-8,31-614-CAS-41825503,1,1,100,16940-66-2,7732-18-5,"catalyst prepared and used, optimization study, optimized on catalyst,",Copper-based nanoparticles supported on functionalized kaolinite for,"Siegnin, Raissa; Mbiagaing, Cyrille Djoko; Dzene, Liva; Vidal, Loic;","Applied Clay Science (2024), 258107493","['1120-71-4', '1317-39-1', '1318-74-7', '7440-50-8']",,,,,
O=[N+]([O-])c1ccc(O)cc1,Nc1ccc(O)cc1,O=[N+]([O-])c1ccc(O)cc1>>Nc1ccc(O)cc1,100-02-7,123-30-8,31-614-CAS-41289555,1,1,100,16940-66-2,7732-18-5,"green chemistry-catalyst, solid-supported catalyst, cobalt supported on",Heterogenization of Cobalt on Nanostructured Magnetic Covalent Triazine,"Nithya, Kesavan; Anbarasan, Rajagopal; Anbuselvan, Natarajan; Vasantha,","ACS Applied Nano Materials (2024), 7(8), 9554-9564",7440-48-4,,,,,
O=[N+]([O-])c1ccc(O)cc1,Nc1ccc(O)cc1,O=[N+]([O-])c1ccc(O)cc1>>Nc1ccc(O)cc1,100-02-7,123-30-8,31-614-CAS-42359141,1,1,100,16940-66-2,7732-18-5,"catalyst prepared and used, reusable catalyst","N,S-Doped Ordered Mesoporous Carbon: An Effective Catalyst for the","Eftekhari-Sis, Bagher; Jalalat, Maryam; Vahdati-Khajeh, Saleh; Samadi,","ChemistrySelect (2024), 9(35), e202402858","['7440-05-3', '7440-44-0']",,,,,
O=[N+]([O-])c1ccc(O)cc1,Nc1ccc(O)cc1,O=[N+]([O-])c1ccc(O)cc1>>Nc1ccc(O)cc1,100-02-7,123-30-8,31-614-CAS-42036037,1,1,100,16940-66-2,7732-18-5,"thermal, UV light (400 and 300 nm) used, catalyst prepared and used,",Catalytic Nano-Gold Immobilized on the Inner Surfaces of Halloysite,"Lin, Hui; Liu, Yandong; Hu, Chenglong; Deng, Xuefan; Zhang, Long; Chen,","ACS Applied Nano Materials (2024), 7(14), 16669-16678","['7440-57-5', '12068-50-7', '12356-13-7']",,,,,
O=[N+]([O-])c1ccc(O)cc1,Nc1ccc(O)cc1,O=[N+]([O-])c1ccc(O)cc1>>Nc1ccc(O)cc1,100-02-7,123-30-8,31-614-CAS-42491369,1,1,100,16940-66-2,7732-18-5,solid-supported catalyst (Co-Ni bimetallic nanoparticles supported on,Co-Ni nanoparticle supported on heteroatom-doped carbon derived from,"Azizi, Kosar; Nemati, Firouzeh; Mirhosseyni, Marzie Sadat","Diamond and Related Materials (2024), 150111662","['7440-02-0', '7440-44-0', '7440-48-4']",,,,,
O=[N+]([O-])c1ccc(O)cc1,Nc1ccc(O)cc1,O=[N+]([O-])c1ccc(O)cc1>>Nc1ccc(O)cc1,100-02-7,123-30-8,31-614-CAS-39326270,1,1,100,1333-74-0,67-56-1,"thermal, catalyst prepared and used",Iron-Based Catalysts with Oxygen Vacancies Obtained by Facile Pyrolysis,"Yu, Jiaxin; Zhang, Xiyuan; Jiang, Ruikun; He, Wei; Xu, Miaoqi; Xu,","ACS Applied Materials & Interfaces (2024), 16(7), 8603-8615",7439-89-6,,,,,
O=[N+]([O-])c1ccc(O)cc1,Nc1ccc(O)cc1,O=[N+]([O-])c1ccc(O)cc1>>Nc1ccc(O)cc1,100-02-7,123-30-8,31-614-CAS-42279684,1,1,100,1333-74-0,67-56-1,solid-supported catalyst (Pd nanoparticles supported by Fe3O4-SiO2,Highly dispersed Pd nanoparticles supported by magnetically separable,"Sheng, Kefa; Xia, Hongyu; Ge, Jianping","Journal of Colloid and Interface Science (2024), 676763-773","['1317-61-9', '7440-05-3', '7631-86-9']",,,,,
O=[N+]([O-])c1ccc(O)cc1,Nc1ccc(O)cc1,O=[N+]([O-])c1ccc(O)cc1>>Nc1ccc(O)cc1,100-02-7,123-30-8,31-614-CAS-38254721,1,1,100,16940-66-2,7732-18-5,"catalyst prepared and used, reusable catalyst, optimization study,",Rationally engineering magadiite heavy metal adsorbent for p-nitrophenol,"Yan, Yu; Wu, Junshu; Wang, Jinshu; Xu, Meng; Zhou, Wenyuan; Li, Yongli;","Applied Clay Science (2023), 245107143","['57-09-0', '7440-50-8', '12285-88-0']",,,"['intercalated compound with magadiite', 'intercalated compound with cetyltrimethyl ammonium bromide']",,
O=[N+]([O-])c1ccc(O)cc1,Nc1ccc(O)cc1,O=[N+]([O-])c1ccc(O)cc1>>Nc1ccc(O)cc1,100-02-7,123-30-8,31-614-CAS-37274565,1,1,100,16940-66-2,"['64-17-5', '7732-18-5']",catalyst prepared and used,New recyclable Co-based trimetallic zeolite imidazolate framework,"Naghshbandi, Zhwan; Gholinejad, Mohammad; Sansano, Jose M.","Polyhedron (2023), 243116523","['46201-07-4', '56780-38-2']",,,,,
O=[N+]([O-])c1ccc(O)cc1,Nc1ccc(O)cc1,O=[N+]([O-])c1ccc(O)cc1>>Nc1ccc(O)cc1,100-02-7,123-30-8,31-614-CAS-33554783,1,1,100,1333-74-0,67-56-1,"green chemistry, solid-supported catalyst, thermal, activated",Chemoselective Hydrogenation of Nitroarenes by an Efficient Co@NC/AC,"Zhang, Guanyi; Liu, Lin; Zhu, Qingqing; Kong, Xiangjin","Catalysis Letters (2023), 153(5), 1536-1542",7440-48-4,,,,,
O=[N+]([O-])c1ccc(O)cc1,Nc1ccc(O)cc1,O=[N+]([O-])c1ccc(O)cc1>>Nc1ccc(O)cc1,100-02-7,123-30-8,31-614-CAS-36761346,1,1,100,,67-56-1,"chemoselective, solid-supported catalyst, graphene-encapsulated nickel",Structure-controlled graphene-encapsulated nickel nanoparticle with,"He, W.; Jiang, M. M.; Yu, J. X.; Yan, W.; Zhang, X. Y.; Jiang, R.; Zhao,","Materials Today Chemistry (2023), 29101458",7440-02-0,,,,,
O=[N+]([O-])c1ccc(O)cc1,Nc1ccc(O)cc1,O=[N+]([O-])c1ccc(O)cc1>>Nc1ccc(O)cc1,100-02-7,123-30-8,31-614-CAS-35122648,1,1,100,1333-74-0,67-56-1,autoclave used,Boosting hydrogenation properties of Pt single-atom catalysts via,"Zhang, Hao; Zhang, Xingcong; Sun, Qingdi; He, Qian; Ji, Hongbing; He,","Chemical Engineering Journal (Amsterdam, Netherlands) (2023), 455140808",7440-06-4,,,,,
O=[N+]([O-])c1ccc(O)cc1,Nc1ccc(O)cc1,O=[N+]([O-])c1ccc(O)cc1>>Nc1ccc(O)cc1,100-02-7,123-30-8,31-614-CAS-35506562,1,2,100,"['7782-44-7', '16940-66-2', '7647-01-0']",7732-18-5,"green chemistry-solvent, solid-supported catalyst (solid chitosan polymer",Pd/Chitosan Nanoparticle Catalysts Prepared by Solid Mortar Grinding for,"Reddy, Kalvakunta Paul; Swetha, Catherine; Murugadoss, Arumugam","ACS Sustainable Chemistry & Engineering (2023), 11(5), 1643-1654",7440-05-3,,,,,
O=[N+]([O-])c1ccc(O)cc1,Nc1ccc(O)cc1,O=[N+]([O-])c1ccc(O)cc1>>Nc1ccc(O)cc1,100-02-7,123-30-8,31-614-CAS-36250588,1,1,100,16940-66-2,7732-18-5,catalyst prepared and used,Magnetic boron nitride adorned with Pd nanoparticles: an efficient,"Wang, Jinghan; Cheon, Woo Seok; Lee, Ju-Yong; Yan, Wenqian; Jung,","Dalton Transactions (2023), 52(12), 3567-3574","['7440-05-3', '10043-11-5']",,,,,
O=[N+]([O-])c1ccc(O)cc1,Nc1ccc(O)cc1,O=[N+]([O-])c1ccc(O)cc1>>Nc1ccc(O)cc1,100-02-7,123-30-8,31-614-CAS-33908424,1,2,100,16940-66-2,"['7732-18-5', '141-78-6']",solid-supported catalyst (silver nanoparticles supported on alpha-Al2O3,Morphologically tailored facet dependent silver nanoparticles supported,"Rajendiran, Rajesh; Seelam, Prem Kumar; Patchaiyappan, Arunkumar; Balla,","Chemical Engineering Journal (Amsterdam, Netherlands) (2023),","['1344-28-1', '7440-22-4']",,,,,
O=[N+]([O-])c1ccc(O)cc1,Nc1ccc(O)cc1,O=[N+]([O-])c1ccc(O)cc1>>Nc1ccc(O)cc1,100-02-7,123-30-8,31-614-CAS-36421574,1,1,100,16940-66-2,7732-18-5,"green chemistry-catalyst, optimization study, optimized on time, catalyst",Catalytic performance of PVP-coated CuO nanosheets under environmentally,"Shahmiri, Mahdi; Bayat, Saadi; Kharrazi, Sharmin","RSC Advances (2023), 13(19), 13213-13223",1317-38-0,,,,,
O=[N+]([O-])c1ccc(O)cc1,Nc1ccc(O)cc1,O=[N+]([O-])c1ccc(O)cc1>>Nc1ccc(O)cc1,100-02-7,123-30-8,31-614-CAS-35217426,1,1,100,16940-66-2,7732-18-5,catalyst prepared and used,Direction of theoretical and experimental investigation into the,"Sisakhti, Zohreh Nouripour; Malmir, Masoume; Bisafar, Masoumeh Bagheri;","Scientific Reports (2022), 12(1), 21964","['85-41-6', '1306-06-5', '7440-22-4']",,,reaction products with (3-chloroprppyl) trimethoxysilane and silica,,
O=[N+]([O-])c1ccc(O)cc1,Nc1ccc(O)cc1,O=[N+]([O-])c1ccc(O)cc1>>Nc1ccc(O)cc1,100-02-7,123-30-8,31-614-CAS-33924874,1,1,100,1333-74-0,64-17-5,"solid-supported catalyst, selectivity >99%, optimization study, optimized",Highly efficient and stable catalysts-covalent organic,"Deng, Xin; Zhu, Lihua; Zhang, Huan; Li, Liqing; Zhao, Ning; Wang,","Environmental Research (2022), 214(Part_4), 114027",7440-05-3,,,,,
O=[N+]([O-])c1ccc(O)cc1,Nc1ccc(O)cc1,O=[N+]([O-])c1ccc(O)cc1>>Nc1ccc(O)cc1,100-02-7,123-30-8,31-614-CAS-33838149,1,1,100,7803-57-8,"['67-56-1', '75-05-8', '75-09-2']","photochemical, LED lamp used (20 W), selectivity 100%, catalyst prepared",Photocatalytic aspect of rGO/MnFe2O4 as an efficient magnetically,"Fuladi, Vida; Bezaatpour, Abolfazl; Azizian-Kalandaragh, Yashar; Amiri,","Journal of Environmental Chemical Engineering (2022), 10(5), 108368","['12063-10-4', '1034343-98-0']",,,,,
O=[N+]([O-])c1ccc(O)cc1,Nc1ccc(O)cc1,O=[N+]([O-])c1ccc(O)cc1>>Nc1ccc(O)cc1,100-02-7,123-30-8,31-614-CAS-34212815,1,1,100,16940-66-2,7732-18-5,solid-supported catalyst (gold nanoparticles supported on NiO catalyst,Gold nanoparticles supported on NiO and CuO: The synergistic effect,"Gholinejad, Mohammad; Khezri, Rahimeh; Nayeri, Sara; Vishnuraj,","Molecular Catalysis (2022), 530112601","['1313-99-1', '7440-57-5']",,,,,
O=[N+]([O-])c1ccc(O)cc1,Nc1ccc(O)cc1,O=[N+]([O-])c1ccc(O)cc1>>Nc1ccc(O)cc1,100-02-7,123-30-8,31-614-CAS-33256343,1,1,100,16940-66-2,7732-18-5,"biotransformation, enzymic, catalyst prepared and used, optimization",Cascade Catalysis Through Bifunctional Lipase Metal Biohybrids for the,"Naapuri, Janne M.; Losada-Garcia, Noelia; Rothemann, Robin Alexander;","ChemCatChem (2022), 14(16), e202200362","['16903-35-8', '1435939-45-9']",,,,,
O=[N+]([O-])c1ccc(O)cc1,Nc1ccc(O)cc1,O=[N+]([O-])c1ccc(O)cc1>>Nc1ccc(O)cc1,100-02-7,123-30-8,31-614-CAS-31975191,1,1,100,1333-74-0,"['64-17-5', '7732-18-5']","high pressure, solid-supported catalyst, carbon supported nickel catalyst",Method for catalytic hydrogenation of unsaturated compounds,"Wu, Genghuang; Rong, Junfeng; Da, Zhijian; Zong, Mingsheng; Xie, Jingxin;","China, CN114426490 A 2022-05-03",7440-02-0,,,,,
