Reactants_SMILES,Products_SMILES,Reaction_SMILES,RXN:RCT:CAS_RN,RXN:PRO:CAS_RN,RXN:VAR:CAS_Reaction_Number,RXN:VAR:STEPS,RXN:VAR:STAGES,RXN:VAR:PRO:YIELD,RXN:VAR:RGT:CAS_RN,RXN:VAR:SOL:CAS_RN,RXN:VAR:NOTES,RXN:VAR:REFERENCE:TITLE,RXN:VAR:REFERENCE:AUTHOR,RXN:VAR:REFERENCE:CITATION,RXN:VAR:CAT:CAS_RN,RXN:VAR:EXP_PROC,RXN:PRO:AMD,RXN:VAR:CAT:AMD,RXN:VAR:SOL:AMD,RXN:RCT:AMD,RXN:VAR:RGT:AMD
CC(=O)c1ccc([N+](=O)[O-])cc1,SCCCS.CC1(c2ccc([N+](=O)[O-])cc2)SCCCS1,CC(=O)c1ccc([N+](=O)[O-])cc1>>SCCCS.CC1(c2ccc([N+](=O)[O-])cc2)SCCCS1,"['100-19-6', '109-80-8']",67395-06-6,31-307-CAS-9523840,1,1,100,,75-05-8,"chemoselective, flow technique","An efficient, continuous flow technique for the chemoselective synthesis","Wiles, Charlotte; Watts, Paul; Haswell, Stephen J.","Tetrahedron Letters (2007), 48(41), 7362-7365",9037-24-5,,,,,,
COc1ccc([N+](=O)[O-])cc1,O=[N+]([O-])c1ccc(O)cc1,COc1ccc([N+](=O)[O-])cc1>>O=[N+]([O-])c1ccc(O)cc1,100-17-4,100-02-7,31-049-CAS-12699131,1,1,100,"['882-33-7', '7440-23-5']",872-50-4,"chemoselective, in-situ generated reagent",Diphenyl Disulfide and Sodium in NMP as an Efficient Protocol for in Situ,"Chakraborti, Asit K.; Nayak, Mrinal K.; Sharma, Lalima","Journal of Organic Chemistry (2002), 67(6), 1776-1780",,General/Typical Procedure: General Procedure for Deprotection.,,,,,
O=[N+]([O-])c1ccc([N+](=O)[O-])cc1,Nc1ccc([N+](=O)[O-])cc1,O=[N+]([O-])c1ccc([N+](=O)[O-])cc1>>Nc1ccc([N+](=O)[O-])cc1,100-25-4,100-01-6,31-614-CAS-44822769,1,1,100,7803-57-8,67-56-1,solid-supported catalyst (nitrogen-doped graphene-supported,A catalyst having a phthalocyanine-metal atom structure and its,"Xi, Jiangbo; Xiong, Miao; Bi, Zhuoyuan","China, CN119746913 A 2025-04-04","['7439-89-6', '1034343-98-0']",,,oxide,,,
O=[N+]([O-])c1ccc([N+](=O)[O-])cc1,Nc1ccc([N+](=O)[O-])cc1,O=[N+]([O-])c1ccc([N+](=O)[O-])cc1>>Nc1ccc([N+](=O)[O-])cc1,100-25-4,100-01-6,31-614-CAS-33554782,1,1,100,1333-74-0,67-56-1,"green chemistry, solid-supported catalyst, thermal, activated",Chemoselective Hydrogenation of Nitroarenes by an Efficient Co@NC/AC,"Zhang, Guanyi; Liu, Lin; Zhu, Qingqing; Kong, Xiangjin","Catalysis Letters (2023), 153(5), 1536-1542",7440-48-4,,,,,,
O=[N+]([O-])c1ccc([N+](=O)[O-])cc1,Nc1ccc([N+](=O)[O-])cc1,O=[N+]([O-])c1ccc([N+](=O)[O-])cc1>>Nc1ccc([N+](=O)[O-])cc1,100-25-4,100-01-6,31-614-CAS-38719863,1,1,100,1313-82-2,7732-18-5,"green chemistry, photochemical, ultrasound, irradiated with a blue LED",Practical photocatalytic and sonophotocatalytic reduction of nitroarenes,"Ghasemi, Leila; Ahmadi, Ayub; Abedini, Raheleh; Kazemi, Foad; Kaboudin,","RSC Advances (2023), 13(49), 34733-34738","['7585-39-9', '13463-67-7']",,,,,,
O=[N+]([O-])c1ccc([N+](=O)[O-])cc1,Nc1ccc([N+](=O)[O-])cc1,O=[N+]([O-])c1ccc([N+](=O)[O-])cc1>>Nc1ccc([N+](=O)[O-])cc1,100-25-4,100-01-6,31-522-CAS-22374526,1,1,100,,67-63-0,"high pressure, thermal, selectivity 79%",Method of producing aromatic diamines and triamines from aromatic,"Sivtsev, V. P.; Anikeev, V. I.; Volcho, K. P.; Salakhutdinov, N. F.","Russian Federation, RU2549618 C1 2015-04-27",1344-28-1,,,,,,
O=[N+]([O-])c1ccc([N+](=O)[O-])cc1,Nc1ccc([N+](=O)[O-])cc1,O=[N+]([O-])c1ccc([N+](=O)[O-])cc1>>Nc1ccc([N+](=O)[O-])cc1,100-25-4,100-01-6,31-522-CAS-15755285,1,1,100,540-69-2,7732-18-5,"chemoselective, green chemistry, regioselective, solid-supported",A Highly Water-Dispersible/Magnetically Separable Palladium Catalyst:,"Karimi, Babak; Mansouri, Fariborz; Vali, Hojatollah","ChemPlusChem (2015), 80(12), 1750-1759",1604839-72-6,,,silica-coated iron oxide-bound,,,
O=[N+]([O-])c1ccc([N+](=O)[O-])cc1,Nc1ccc([N+](=O)[O-])cc1,O=[N+]([O-])c1ccc([N+](=O)[O-])cc1>>Nc1ccc([N+](=O)[O-])cc1,100-25-4,100-01-6,31-522-CAS-13263224,1,1,100,7803-57-8,64-17-5,"chemoselective, nano-RuSe2 prepared and used as catalyst",Homoleptic ruthenium(III) chalcogenolates: a single precursor to metal,"Chan, Sharon Lai-Fung; Low, Kam-Hung; So, Gary Kwok-Ming; Chui, Stephen","Chemical Communications (Cambridge, United Kingdom) (2011), 47(31),",12166-21-1,,,,,,
O=C(O)c1ccc(C(=O)O)cc1,OCCO.O=C(OCCO)c1ccc(C(=O)OCCO)cc1,O=C(O)c1ccc(C(=O)O)cc1>>OCCO.O=C(OCCO)c1ccc(C(=O)OCCO)cc1,"['100-21-0', '107-21-1']",959-26-2,31-614-CAS-25115457,1,1,100,,,"low pressure, catalyst prepared and used, ionic liquid used as catalyst",Preparation of sulfonic acid functionalized imidazolium ionic liquid,"Feng, Gang; Zhang, Xue; Zhang, Rongbin","China, CN113788793 A 2021-12-14",2756015-99-1,,,,,,
O=C(O)c1ccc(C(=O)O)cc1,OCCO.O=C(OCCO)c1ccc(C(=O)OCCO)cc1,O=C(O)c1ccc(C(=O)O)cc1>>OCCO.O=C(OCCO)c1ccc(C(=O)OCCO)cc1,"['100-21-0', '107-21-1']",959-26-2,31-614-CAS-25115455,1,1,100,,,"low pressure, catalyst prepared and used, ionic liquid used as catalyst,",Preparation of sulfonic acid functionalized imidazolium ionic liquid,"Feng, Gang; Zhang, Xue; Zhang, Rongbin","China, CN113788793 A 2021-12-14",2756016-05-2,,,,,,
O=C(O)c1ccc(C(=O)O)cc1,OCCO.O=C(OCCO)c1ccc(C(=O)OCCO)cc1,O=C(O)c1ccc(C(=O)O)cc1>>OCCO.O=C(OCCO)c1ccc(C(=O)OCCO)cc1,"['100-21-0', '107-21-1']",959-26-2,31-614-CAS-25115026,1,1,100,,,"low pressure, ionic liquid catalyst prepared and used, alternate",Preparation of sulfonic acid functionalized pyrrolidone ionic liquid,"Feng, Gang; Zhang, Xue; Zhang, Rongbin","China, CN113788775 A 2021-12-14",2755994-80-8,,,,,,
O=C(O)c1ccc(C(=O)O)cc1,OCCO.O=C(OCCO)c1ccc(C(=O)OCCO)cc1,O=C(O)c1ccc(C(=O)O)cc1>>OCCO.O=C(OCCO)c1ccc(C(=O)OCCO)cc1,"['100-21-0', '107-21-1']",959-26-2,31-614-CAS-25115034,1,1,100,,,"low pressure, ionic liquid catalyst prepared and used, alternate",Preparation of sulfonic acid functionalized pyrrolidone ionic liquid,"Feng, Gang; Zhang, Xue; Zhang, Rongbin","China, CN113788775 A 2021-12-14",2755994-95-5,,,,,,
O=[N+]([O-])c1ccc(CCl)cc1,C#Cc1ccccc1.O=[N+]([O-])c1ccc(Cn2cc(-c3ccccc3)nn2)cc1,O=[N+]([O-])c1ccc(CCl)cc1>>C#Cc1ccccc1.O=[N+]([O-])c1ccc(Cn2cc(-c3ccccc3)nn2)cc1,"['100-14-1', '536-74-3']",104926-74-1,31-287-CAS-17584837,1,2,100,26628-22-8,7732-18-5,"green chemistry, regioselective, solid-supported catalyst (CuI-loaded and",CuI@UiO-67-IM: A MOF-Based Bifunctional Composite Triphase-Transfer,"Hu, Yu-Hong; Wang, Jian-Cheng; Yang, Song; Li, Yan-An; Dong, Yu-Bin","Inorganic Chemistry (2017), 56(14), 8341-8347","['7681-65-4', '2087420-41-3']",,,UiO-67-IM supported,,,
O=[N+]([O-])c1ccc(CCl)cc1,C#Cc1ccccc1.O=[N+]([O-])c1ccc(Cn2cc(-c3ccccc3)nn2)cc1,O=[N+]([O-])c1ccc(CCl)cc1>>C#Cc1ccccc1.O=[N+]([O-])c1ccc(Cn2cc(-c3ccccc3)nn2)cc1,"['100-14-1', '536-74-3']",104926-74-1,31-287-CAS-17356467,1,1,100,26628-22-8,7732-18-5,"green chemistry-catalyst, microwave irradiation, regioselective, reusable",Cu (II)-β-CD as Water-Loving Catalyst for One-Pot Synthesis of Triazoles,"Gupta, Dinesh; Mishra, Anju; Kundu, Sabuj","ChemistrySelect (2017), 2(10), 2997-3008",37299-49-3,,,,,,
CC(=O)c1ccc([N+](=O)[O-])cc1,C[C@H](O)c1ccc([N+](=O)[O-])cc1,CC(=O)c1ccc([N+](=O)[O-])cc1>>C[C@H](O)c1ccc([N+](=O)[O-])cc1,100-19-6,96156-72-8,31-513-CAS-944280,1,1,100,"['50-99-7', '53-59-8']",7732-18-5,"biotransformation, enzymic, stereoselective, ee = >98%, Tris-HCl buffered",Enzymatic reduction of acetophenone derivatives with a benzil reductase,"Contente, Martina L.; Serra, Immacolata; Palazzolo, Luca; Parravicini,","Organic & Biomolecular Chemistry (2016), 14(13), 3404-3408","['89700-36-7', '422524-67-2']",,,,,,
CC(=O)c1ccc([N+](=O)[O-])cc1,C[C@H](O)c1ccc([N+](=O)[O-])cc1,CC(=O)c1ccc([N+](=O)[O-])cc1>>C[C@H](O)c1ccc([N+](=O)[O-])cc1,100-19-6,96156-72-8,31-513-CAS-13187390,1,2,100,"['64-18-6', '121-44-8']","['68-12-2', '75-09-2']","solid-supported catalyst, stereoselective, microgel supported",Preparation of microgel-supported chiral catalysts and their application,"Deng, Jia; Lu, Cuifen; Yang, Guichun; Chen, Zuxing","Reactive & Functional Polymers (2012), 72(6), 378-382","['52462-29-0', '1380336-08-2']",,,,,,
CC(=O)c1ccc([N+](=O)[O-])cc1,C[C@H](O)c1ccc([N+](=O)[O-])cc1,CC(=O)c1ccc([N+](=O)[O-])cc1>>C[C@H](O)c1ccc([N+](=O)[O-])cc1,100-19-6,96156-72-8,31-513-CAS-9718613,1,1,100,"['50-99-7', '10043-52-4']","['7732-18-5', '1135440-65-1']","biotransformation, enzymic, green chemistry, solid-supported catalyst,",Efficient enantioselective reduction of 4'-methoxyacetophenone with,"Lou, Wen-Yong; Wang, Wei; Li, Ri-Feng; Zong, Min-Hua","Journal of Biotechnology (2009), 143(3), 190-197",,,,,,,
CC(=O)c1ccc([N+](=O)[O-])cc1,NNc1ccccc1.CC(=NNc1ccccc1)c1ccc([N+](=O)[O-])cc1,CC(=O)c1ccc([N+](=O)[O-])cc1>>NNc1ccccc1.CC(=NNc1ccccc1)c1ccc([N+](=O)[O-])cc1,"['100-19-6', '100-63-0']",77635-72-4,31-310-CAS-7225886,1,1,100,,,"green chemistry, safety, phenylhydrazine is poisonous carcinogenic agent,",Kneading ball-milling and stoichiometric melts for the quantitative,"Mokhtari, Javad; Naimi-Jamal, Mohammad R.; Hamzeali, Hamideh; Dekamin,","ChemSusChem (2009), 2(3), 248-254",,,,,,,
CC(=O)c1ccc([N+](=O)[O-])cc1,NNc1ccccc1.CC(=NNc1ccccc1)c1ccc([N+](=O)[O-])cc1,CC(=O)c1ccc([N+](=O)[O-])cc1>>NNc1ccccc1.CC(=NNc1ccccc1)c1ccc([N+](=O)[O-])cc1,"['100-19-6', '100-63-0']",77635-72-4,31-310-CAS-12944813,1,1,100,,,"green chemistry, ball-mill used/40 Hz frequency, no solvent",A simple and efficient method for quantitative solvent-free synthesis of,"Mokhtari, J.; Naimi-Jamal, M. R.; Hamzehali, H.; Dekamin, Mohammad G.",Proceedings of the International Electronic Conference on Synthetic,,,,,,,
O=C(O)c1ccc(C(=O)O)cc1,OCCO.*OCCOC(=O)c1ccc(C(*)=O)cc1,O=C(O)c1ccc(C(=O)O)cc1>>OCCO.*OCCOC(=O)c1ccc(C(*)=O)cc1,"['100-21-0', '107-21-1']",25038-59-9,31-614-CAS-28672067,1,1,100,,,conversion = 100%,Manufacture of p-toluic acid and its derivatives from sorbic acid and its,"Delcroix, Damien; Vallee, Christophe","France, FR3028854 A1 2016-05-27",6923-52-0,,,,,,
OB(O)c1ccccc1,Brc1cccs1.c1ccc(-c2cccs2)cc1,OB(O)c1ccccc1>>Brc1cccs1.c1ccc(-c2cccs2)cc1,"['98-80-6', '1003-09-4']",825-55-8,31-179-CAS-24240187,1,1,100,7789-23-3,109-99-9,"Suzuki-Miyaura coupling, biaryl phosphacyclic ligand prepared and used,",Evaluation of P-bridged biaryl phosphine ligands in palladium-catalyzed,"Lamola, Jairus L.; Moshapo, Paseka T.; Holzapfel, Cedric W.; Maumela,","RSC Advances (2021), 11(43), 26883-26891","['3375-31-3', '2685837-28-7']",,,,,,
OB(O)c1ccccc1,Brc1cccs1.c1ccc(-c2cccs2)cc1,OB(O)c1ccccc1>>Brc1cccs1.c1ccc(-c2cccs2)cc1,"['98-80-6', '1003-09-4']",825-55-8,31-614-CAS-24304636,1,1,100,"['1310-73-2', '1643-19-2', '7782-44-7']",7732-18-5,"green chemistry-catalyst, solid-supported catalyst (palladium supported",Evaluation of Nitrogen-Based Polymeric Heterogeneous Catalysts for the,"So, Jae Il; Hwang, Sosan; Lee, Myeong Yeon; Song, Mingyu; Baeck,","ACS Applied Polymer Materials (2020), 2(8), 3122-3134","['7440-05-3', '36353-81-8']",,,,,,
OB(O)c1ccccc1,Brc1cccs1.c1ccc(-c2cccs2)cc1,OB(O)c1ccccc1>>Brc1cccs1.c1ccc(-c2cccs2)cc1,"['98-80-6', '1003-09-4']",825-55-8,31-179-CAS-22231706,1,1,100,584-08-7,"['64-17-5', '7732-18-5']","solid-supported catalyst, catalyst prepared and used, porous polyurea",Porous polyurea,"Sim, Sang Eun; So, Jae Il; Chun, Yeong Geol; Ryu, Ji Hyeong","Korea, Republic of, KR2020028687 A 2020-03-17","['7440-05-3', '1234175-65-5']",,,,,,
OB(O)c1ccccc1,Brc1cccs1.c1ccc(-c2cccs2)cc1,OB(O)c1ccccc1>>Brc1cccs1.c1ccc(-c2cccs2)cc1,"['98-80-6', '1003-09-4']",825-55-8,31-614-CAS-43219351,1,1,100,584-08-7,"['64-17-5', '7732-18-5']","solid-supported catalyst, catalyst prepared and used, DTE support used,",A palladium complex confined in a thiadiazole-functionalized porous,"Qian, Yingjie; Jeong, Sang Yung; Baeck, Sung-Hyeon; Jin, Myung-Jong;","RSC Advances (2019), 9(58), 33563-33571","['1643-19-2', '7440-05-3']",,,,,,
OB(O)c1ccccc1,Brc1cccs1.c1ccc(-c2cccs2)cc1,OB(O)c1ccccc1>>Brc1cccs1.c1ccc(-c2cccs2)cc1,"['98-80-6', '1003-09-4']",825-55-8,31-179-CAS-19630409,1,1,100,534-17-8,68-12-2,"Suzuki-Miyaura coupling, catalyst prepared and used","A six-membered bimetallic imidazol-4-yl-palladacycle: synthesis,","Avinash, Lruthayaraj; Parveen, Sabeeha; Anantharaman, Ganapathi","Journal of the Indian Chemical Society (2018), 95(7), 713-719",2254312-81-5,,,,,,
OB(O)c1ccccc1,Brc1cccs1.c1ccc(-c2cccs2)cc1,OB(O)c1ccccc1>>Brc1cccs1.c1ccc(-c2cccs2)cc1,"['98-80-6', '1003-09-4']",825-55-8,31-179-CAS-15476747,1,1,100,27176-10-9,123-91-1,"green chemistry, Suzuki coupling",Catalytic Suzuki couplings by an amido pincer complex of palladium,"Liang, Lan-Chang; Chien, Pin-Shu; Song, Liang-Hua","Journal of Organometallic Chemistry (2016), 80430-34",705265-28-7,,,,,,
OB(O)c1ccccc1,Brc1cccs1.c1ccc(-c2cccs2)cc1,OB(O)c1ccccc1>>Brc1cccs1.c1ccc(-c2cccs2)cc1,"['98-80-6', '1003-09-4']",825-55-8,31-179-CAS-6060337,1,1,100,497-19-8,67-56-1,"Suzuki-Miyaura coupling, catalyst prepared and used, optimization study,","NC Palladacycles and C,C-chelating phosphorus ylide complexes: synthesis,","Karami, Kazem; Hosseini-Kharat, Mahboubeh; Shirani-Sarmazeh, Zahra;","Journal of Coordination Chemistry (2016), 69(5), 763-778",1884383-85-0,General/Typical Procedure: 2.8. General procedure for SM reaction a,,,,,
OB(O)c1ccccc1,Brc1cccs1.c1ccc(-c2cccs2)cc1,OB(O)c1ccccc1>>Brc1cccs1.c1ccc(-c2cccs2)cc1,"['98-80-6', '1003-09-4']",825-55-8,31-179-CAS-15415651,1,2,100,7778-53-2,"['127-19-5', '108-88-3']","yield depends on reaction conditions, Suzuki-Miyaura coupling, Schlenk","N,N,N',N'-tetra(diphenylphosphinomethyl)pyridine-2,6-diamine/palladium","Guo, Fei-chen; Zhou, Rong; Jiang, Zhi-jie; Wang, Wei; Fu, Hai-yan; Zheng,","Catalysis Communications (2015), 6687-90","['7647-10-1', '1020067-31-5']",,,,,,
OB(O)c1ccccc1,Brc1cccs1.c1ccc(-c2cccs2)cc1,OB(O)c1ccccc1>>Brc1cccs1.c1ccc(-c2cccs2)cc1,"['98-80-6', '1003-09-4']",825-55-8,31-179-CAS-11172235,1,1,100,584-08-7,"['67-56-1', '75-05-8']","microwave irradiation (60W), Suzuki-Miyaura coupling reaction, sealed",Application of bisphosphomide-palladium(II) pincer complex in,"Kumaravel, Maruthai; Kumar, Pawan; Balakrishna, Maravanji S.","Journal of Chemical Sciences (Bangalore, India) (2014), 126(3), 711-716",1448813-71-5,General/Typical Procedure: General procedure for the coupling reaction,,,,,
OB(O)c1ccccc1,Brc1cccs1.c1ccc(-c2cccs2)cc1,OB(O)c1ccccc1>>Brc1cccs1.c1ccc(-c2cccs2)cc1,"['98-80-6', '1003-09-4']",825-55-8,31-179-CAS-6827715,1,1,100,584-08-7,7732-18-5,"green chemistry, green chemistry-catalyst, green chemistry-solvent,",A highly water-dispersible/magnetically separable palladium catalyst,"Karimi, Babak; Mansouri, Fariborz; Vali, Hojatollah","Green Chemistry (2014), 16(5), 2587-2596",1604839-72-6,,,silica-coated iron oxide-bound,,,
OB(O)c1ccccc1,Brc1cccs1.c1ccc(-c2cccs2)cc1,OB(O)c1ccccc1>>Brc1cccs1.c1ccc(-c2cccs2)cc1,"['98-80-6', '1003-09-4']",825-55-8,31-179-CAS-57888,1,1,100,584-08-7,"['67-56-1', '75-05-8']","microwave irradiation, Suzuki-Miyaura cross-coupling, sealed tube used,","Bisamino(diphosphonite) with dangling olefin functionalities: synthesis,","Naik, Susmita; Kumaravel, Maruthai; Mague, Joel T.; Balakrishna,","Dalton Transactions (2014), 43(3), 1082-1095",1528664-40-5,,,,,,
OB(O)c1ccccc1,Brc1cccs1.c1ccc(-c2cccs2)cc1,OB(O)c1ccccc1>>Brc1cccs1.c1ccc(-c2cccs2)cc1,"['98-80-6', '1003-09-4']",825-55-8,31-179-CAS-1528671,1,1,100,584-08-7,"['75-05-8', '7732-18-5']","Suzuki-Miyaura coupling reaction, sealed tube",A mild robust generic protocol for the Suzuki reaction using an air,"Moseley, Jonathan D.; Murray, Paul M.; Turp, Edward R.; Tyler, Simon N.","Tetrahedron (2012), 68(30), 6010-6017",95408-45-0,,,,,,
OB(O)c1ccccc1,Brc1cccs1.c1ccc(-c2cccs2)cc1,OB(O)c1ccccc1>>Brc1cccs1.c1ccc(-c2cccs2)cc1,"['98-80-6', '1003-09-4']",825-55-8,31-179-CAS-11120609,1,3,100,"['1310-58-3', '7647-01-0']","['109-99-9', '7732-18-5']","alternative conventional catalyst Pd(tBu3P)2 gave lower yield,",Flash Generation of a Highly Reactive Pd Catalyst for Suzuki-Miyaura,"Nagaki, Aiichiro; Takabayashi, Naofumi; Moriwaki, Yuya; Yoshida, Jun-ichi","Chemistry - A European Journal (2012), 18(38),","['3375-31-3', '13716-12-6']",,,,,,
OB(O)c1ccccc1,Brc1cccs1.c1ccc(-c2cccs2)cc1,OB(O)c1ccccc1>>Brc1cccs1.c1ccc(-c2cccs2)cc1,"['98-80-6', '1003-09-4']",825-55-8,31-179-CAS-518053,1,1,100,584-08-7,7732-18-5,"green chemistry, Suzuki-Miyaura coupling",pH-Responsive chelating N-heterocyclic dicarbene palladium(II) complexes:,"Li, Liuyi; Wang, Jinyun; Zhou, Chunshan; Wang, Ruihu; Hong, Maochun","Green Chemistry (2011), 13(8), 2071-2077",1329591-29-8,,,,,,
OB(O)c1ccccc1,Brc1cccs1.c1ccc(-c2cccs2)cc1,OB(O)c1ccccc1>>Brc1cccs1.c1ccc(-c2cccs2)cc1,"['98-80-6', '1003-09-4']",825-55-8,31-179-CAS-3749990,1,1,100,584-08-7,67-56-1,Suzuki-Miyaura cross-coupling,"Cyclodiphosphazane appended with thioether functionality: Synthesis,","Balakrishna, Maravanji S.; Suresh, D.; Mague, Joel T.","Inorganica Chimica Acta (2011), 372(1), 259-265",1313049-11-4,,,,,,
OB(O)c1ccccc1,Brc1cccs1.c1ccc(-c2cccs2)cc1,OB(O)c1ccccc1>>Brc1cccs1.c1ccc(-c2cccs2)cc1,"['98-80-6', '1003-09-4']",825-55-8,31-179-CAS-4810000,1,1,100,429-41-4,,"Suzuki-Miyaura cross-coupling, Pd-nanoparticles generated in-situ from",Generation of Pd nanoparticles in situ from PdCl2 in TBAF: an efficient,"Tao, Liming; Xie, Yexiang; Deng, Chenliang; Li, Jinheng","Chinese Journal of Chemistry (2009), 27(7), 1365-1373",7647-10-1,,,,,,
OB(O)c1ccccc1,Brc1cccs1.c1ccc(-c2cccs2)cc1,OB(O)c1ccccc1>>Brc1cccs1.c1ccc(-c2cccs2)cc1,"['98-80-6', '1003-09-4']",825-55-8,31-179-CAS-2732918,1,2,100,584-08-7,67-56-1,"Suzuki-Miyaura cross-coupling, alternative reaction conditions gave lower",Phosphine free diamino-diol based palladium catalysts and their,"Mohanty, Sasmita; Suresh, D.; Balakrishna, Maravanji S.; Mague, Joel T.","Journal of Organometallic Chemistry (2009), 694(13), 2114-2121","['3375-31-3', '24773-83-9']",,,,,,
OB(O)c1ccccc1,Brc1cccs1.c1ccc(-c2cccs2)cc1,OB(O)c1ccccc1>>Brc1cccs1.c1ccc(-c2cccs2)cc1,"['98-80-6', '1003-09-4']",825-55-8,31-179-CAS-15195309,1,1,100,7789-23-3,"['64-17-5', '7732-18-5']","solid-supported catalyst, catalyst on polypropylene at 4-Ph, Suzuki",Tunable Palladium-FibreCats for Aryl Chloride Suzuki Coupling with,"Colacot, Thomas J.; Carole, William A.; Neide, Bruce A.; Harad, Ajay","Organometallics (2008), 27(21), 5605-5611",1073119-64-8,General/Typical Procedure: Procedure for Catalyst Screenings. In a,,polypropylene-bound,,,
OB(O)c1ccccc1,Brc1cccs1.c1ccc(-c2cccs2)cc1,OB(O)c1ccccc1>>Brc1cccs1.c1ccc(-c2cccs2)cc1,"['98-80-6', '1003-09-4']",825-55-8,31-179-CAS-5963258,1,1,100,7778-53-2,123-91-1,Suzuki coupling,Catalytic Suzuki Coupling Reactions by Amido Phosphine Complexes of,"Liang, Lan-Chang; Chien, Pin-Shu; Huang, Mei-Hui","Organometallics (2005), 24(3), 353-357",844611-77-4,General/Typical Procedure: General Procedures for the Suzuki Reactions,,,,,
OB(O)c1ccccc1,Brc1cccs1.c1ccc(-c2cccs2)cc1,OB(O)c1ccccc1>>Brc1cccs1.c1ccc(-c2cccs2)cc1,"['98-80-6', '1003-09-4']",825-55-8,31-179-CAS-7954520,1,1,100,584-08-7,1330-20-7,"Suzuki coupling reaction, optimization study, optimized on catalyst",Preparation of palladium arylamine complexes as coupling reaction and,"Van Der Schaaf, Paul Adriaan; Kolly, Roman; Tinkl, Michael","World Intellectual Property Organization, WO2003013723 A1 2003-02-20",497879-99-9,,,,,,
O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F.[Na],CCCC[N+](CCCC)(CCCC)CC(=O)OCC.[Br-].CCCC[N+](CCCC)(CCCC)CC(=O)OCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F.[Na]>>CCCC[N+](CCCC)(CCCC)CC(=O)OCC.[Br-].CCCC[N+](CCCC)(CCCC)CC(=O)OCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"['91742-21-1', '1002319-54-1']",1428653-31-9,31-575-CAS-18074560,1,1,100,,,"no experimental detail, literature preparation",Efficient extraction of gold from water by liquid-liquid extraction or,"Boudesocque, Stephanie; Mohamadou, Aminou; Dupont, Laurent","New Journal of Chemistry (2014), 38(11), 5573-5581",,,,,,,
COc1ccc([N+](=O)[O-])cc1,COc1ccc(N)cc1,COc1ccc([N+](=O)[O-])cc1>>COc1ccc(N)cc1,100-17-4,104-94-9,31-614-CAS-44822773,1,1,100,7803-57-8,67-56-1,solid-supported catalyst (nitrogen-doped graphene-supported,A catalyst having a phthalocyanine-metal atom structure and its,"Xi, Jiangbo; Xiong, Miao; Bi, Zhuoyuan","China, CN119746913 A 2025-04-04","['7439-89-6', '1034343-98-0']",,,oxide,,,
COc1ccc([N+](=O)[O-])cc1,COc1ccc(N)cc1,COc1ccc([N+](=O)[O-])cc1>>COc1ccc(N)cc1,100-17-4,104-94-9,31-614-CAS-38820077,1,1,100,16940-66-2,"['64-17-5', '7732-18-5']","solid-supported catalyst, Pd nanoparticles decorated nitrogen-doped holey",Pd nanoparticles decorated N-doped holey graphene assembled on aluminum,"Zhao, Jiahan; Zhang, Anqi; Li, Yingshuang; Hu, Hanyu; Xi, Jiangbo","Chemical Engineering Science (2024), 286119656","['1335-30-4', '7440-05-3', '17778-88-0', '1034343-98-0']",,,oxide or reduced,,,
COc1ccc([N+](=O)[O-])cc1,COc1ccc(N)cc1,COc1ccc([N+](=O)[O-])cc1>>COc1ccc(N)cc1,100-17-4,104-94-9,31-614-CAS-41289548,1,1,100,16940-66-2,7732-18-5,"green chemistry-catalyst, solid-supported catalyst, cobalt supported on",Heterogenization of Cobalt on Nanostructured Magnetic Covalent Triazine,"Nithya, Kesavan; Anbarasan, Rajagopal; Anbuselvan, Natarajan; Vasantha,","ACS Applied Nano Materials (2024), 7(8), 9554-9564",7440-48-4,,,,,,
COc1ccc([N+](=O)[O-])cc1,COc1ccc(N)cc1,COc1ccc([N+](=O)[O-])cc1>>COc1ccc(N)cc1,100-17-4,104-94-9,31-614-CAS-39326267,1,1,100,1333-74-0,67-56-1,"thermal, catalyst prepared and used",Iron-Based Catalysts with Oxygen Vacancies Obtained by Facile Pyrolysis,"Yu, Jiaxin; Zhang, Xiyuan; Jiang, Ruikun; He, Wei; Xu, Miaoqi; Xu,","ACS Applied Materials & Interfaces (2024), 16(7), 8603-8615",7439-89-6,,,,,,
COc1ccc([N+](=O)[O-])cc1,COc1ccc(N)cc1,COc1ccc([N+](=O)[O-])cc1>>COc1ccc(N)cc1,100-17-4,104-94-9,31-614-CAS-43130404,1,1,100,"['584-08-7', '996-98-5']",7732-18-5,"catalyst prepared and used, Ullmann reaction",Copper-Catalyzed One-Pot Protocol for Reductive N-Arylation of,"Hong, Peng; Wang, Lifang; Zhu, Xinhai; Huang, Manna; Wan, Yiqian","Organic Letters (2024), 26(50), 10769-10773","['1317-39-1', '1643-19-2', '3061748-66-8']",,,,,,
