Reactants_SMILES,Products_SMILES,Reaction_SMILES,RXN:RCT:CAS_RN,RXN:PRO:CAS_RN,RXN:VAR:CAS_Reaction_Number,RXN:VAR:STEPS,RXN:VAR:STAGES,RXN:VAR:PRO:YIELD,RXN:VAR:CAT:CAS_RN,RXN:VAR:SOL:CAS_RN,RXN:VAR:NOTES,RXN:VAR:REFERENCE:TITLE,RXN:VAR:REFERENCE:AUTHOR,RXN:VAR:REFERENCE:CITATION,RXN:VAR:RGT:CAS_RN,RXN:VAR:EXP_PROC,RXN:VAR:CAT:AMD
CC(C)=O,O=[N+]([O-])/C=C/c1ccccc1.CC(=O)C[C@@H](C[N+](=O)[O-])c1ccccc1,CC(C)=O>>O=[N+]([O-])/C=C/c1ccccc1.CC(=O)C[C@@H](C[N+](=O)[O-])c1ccccc1,"['67-64-1', '5153-67-3']",361204-86-6,31-254-CAS-15193179,1,1,100,"['64-19-7', '313695-74-8']",108-88-3,"regioselective, stereoselective, Michael reaction, 82% ee, alternative",Primary amine-thioureas based on tert-butyl esters of natural amino acids,"Kokotos, Christoforos G.; Kokotos, George","Advanced Synthesis & Catalysis (2009), 351(9), 1355-1362",7732-18-5,,
CC(C)=O,O=[N+]([O-])/C=C/c1ccccc1.CC(=O)C[C@@H](C[N+](=O)[O-])c1ccccc1,CC(C)=O>>O=[N+]([O-])/C=C/c1ccccc1.CC(=O)C[C@@H](C[N+](=O)[O-])c1ccccc1,"['67-64-1', '5153-67-3']",361204-86-6,31-254-CAS-12451107,1,1,100,"['64-19-7', '1198297-78-7']",108-88-3,"green chemistry-catalyst, regioselective, stereoselective, Michael",Primary amine-thioureas based on tert-butyl esters of natural amino acids,"Kokotos, Christoforos G.; Kokotos, George","Advanced Synthesis & Catalysis (2009), 351(9), 1355-1362",7732-18-5,,
CC(C)=O,O=[N+]([O-])/C=C/c1ccccc1.CC(=O)C[C@@H](C[N+](=O)[O-])c1ccccc1,CC(C)=O>>O=[N+]([O-])/C=C/c1ccccc1.CC(=O)C[C@@H](C[N+](=O)[O-])c1ccccc1,"['67-64-1', '5153-67-3']",361204-86-6,31-254-CAS-1194219,1,1,100,"['64-19-7', '1198297-81-2']",108-88-3,"green chemistry-catalyst, regioselective, stereoselective, Michael",Primary amine-thioureas based on tert-butyl esters of natural amino acids,"Kokotos, Christoforos G.; Kokotos, George","Advanced Synthesis & Catalysis (2009), 351(9), 1355-1362",7732-18-5,,
CC(C)=O,O=[N+]([O-])/C=C/c1ccccc1.CC(=O)C[C@@H](C[N+](=O)[O-])c1ccccc1,CC(C)=O>>O=[N+]([O-])/C=C/c1ccccc1.CC(=O)C[C@@H](C[N+](=O)[O-])c1ccccc1,"['67-64-1', '5153-67-3']",361204-86-6,31-254-CAS-13063170,1,1,100,"['64-19-7', '1198297-68-5']",108-88-3,"regioselective, stereoselective, Michael reaction, 84% ee, alternative",Primary amine-thioureas based on tert-butyl esters of natural amino acids,"Kokotos, Christoforos G.; Kokotos, George","Advanced Synthesis & Catalysis (2009), 351(9), 1355-1362",7732-18-5,,
CC(C)=O,[H][C@]12CCCCC[C@@]1([H])[C@@]1(Cl)C(=C)C(=O)[C@]2(Cl)C1(OC)OC.[H][C@]12CCCCC[C@@]1([H])[C@@]1(Cl)[C@@H](CCC(C)=O)C(=O)[C@]2(Cl)C1(OC)OC,CC(C)=O>>[H][C@]12CCCCC[C@@]1([H])[C@@]1(Cl)C(=C)C(=O)[C@]2(Cl)C1(OC)OC.[H][C@]12CCCCC[C@@]1([H])[C@@]1(Cl)[C@@H](CCC(C)=O)C(=O)[C@]2(Cl)C1(OC)OC,"['67-64-1', '1801676-83-4']",1801677-58-6,31-254-CAS-946983,1,2,100,,7732-18-5,"stereoselective, Michael addition",Bridgehead Substitution via Putative Norborn-1-en-3-ones: Application in,"Khan, Faiz Ahmed; Budanur, Basavaraj M.; Sudheer, Chava","Chemistry - A European Journal (2015), 21(19), 7021-7025","['1310-73-2', '7647-01-0']",,
CCCC=O,O=[N+]([O-])/C=C/c1ccc(Br)cc1.CC[C@@H](C=O)[C@H](C[N+](=O)[O-])c1ccc(Br)cc1,CCCC=O>>O=[N+]([O-])/C=C/c1ccc(Br)cc1.CC[C@@H](C=O)[C@H](C[N+](=O)[O-])c1ccc(Br)cc1,"['123-72-8', '5153-71-9']",1046494-39-6,31-254-CAS-19890131,1,1,100,"['109-02-4', '2304835-17-2']",75-09-2,"stereoselective, catalyst prepared and used, 99% ee, dr ratio 50:1,",Conformational Control of Tetrahydropyran-based Hybrid Dipeptide,"Borges-Gonzalez, Jorge; Garcia-Monzon, Irma; Martin, Tomas","Advanced Synthesis & Catalysis (2019), 361(9), 2141-2147",,,
CCCC=O,O=[N+]([O-])/C=C/c1ccc(Br)cc1.CC[C@@H](C=O)[C@H](C[N+](=O)[O-])c1ccc(Br)cc1,CCCC=O>>O=[N+]([O-])/C=C/c1ccc(Br)cc1.CC[C@@H](C=O)[C@H](C[N+](=O)[O-])c1ccc(Br)cc1,"['123-72-8', '5153-71-9']",1046494-39-6,31-254-CAS-19620999,1,1,100,"['100-02-7', '2249803-04-9']",75-09-2,"stereoselective, Michael addition, reusable catalyst, chiral mesoporous",Chiral hybrid materials based on pyrrolidine building units to perform,"Llopis, Sebastian; Garcia, Teresa; Cantin, Angel; Velty, Alexandra; Diaz,","Catalysis Science & Technology (2018), 8(22), 5835-5847",,,
CCCCC=O,O=[N+]([O-])/C=C/c1ccccc1.CCC[C@@H](C=O)[C@H](C[N+](=O)[O-])c1ccccc1,CCCCC=O>>O=[N+]([O-])/C=C/c1ccccc1.CCC[C@@H](C=O)[C@H](C[N+](=O)[O-])c1ccccc1,"['110-62-3', '5153-67-3']",847040-89-5,31-254-CAS-18392771,1,2,100,2173591-27-8,108-88-3,"stereoselective, ee (93%), syn:anti = 94:6, optimization study, optimized",Michael addition of carbonyl compounds to nitroolefins under the,"Castan, A.; Badorrey, R.; Galvez, J. A.; Lopez-Ram-de-Viu, P.;","Organic & Biomolecular Chemistry (2018), 16(6), 924-935",,,
CCCCC=O,O=[N+]([O-])/C=C/c1ccccc1.CCC[C@@H](C=O)[C@H](C[N+](=O)[O-])c1ccccc1,CCCCC=O>>O=[N+]([O-])/C=C/c1ccccc1.CCC[C@@H](C=O)[C@H](C[N+](=O)[O-])c1ccccc1,"['110-62-3', '5153-67-3']",847040-89-5,31-254-CAS-18392806,1,2,100,2173591-25-6,108-88-3,"stereoselective, ee (93%), syn:anti = 85:15, alternative reaction",Michael addition of carbonyl compounds to nitroolefins under the,"Castan, A.; Badorrey, R.; Galvez, J. A.; Lopez-Ram-de-Viu, P.;","Organic & Biomolecular Chemistry (2018), 16(6), 924-935",,,
CCCCC=O,O=[N+]([O-])/C=C/c1ccccc1.CCC[C@@H](C=O)[C@H](C[N+](=O)[O-])c1ccccc1,CCCCC=O>>O=[N+]([O-])/C=C/c1ccccc1.CCC[C@@H](C=O)[C@H](C[N+](=O)[O-])c1ccccc1,"['110-62-3', '5153-67-3']",847040-89-5,31-254-CAS-17320745,1,2,100,2114353-81-8,108-87-2,"stereoselective, ee of syn 75%, syn:anti 85:15, Michael addition,",Synthesis of new pyrrolidine-based organocatalysts and study of their use,"Castan, Alejandro; Badorrey, Ramon; Galvez, Jose A.; Diaz-de-Villegas,","Beilstein Journal of Organic Chemistry (2017), 13612-619",,,
CCCCC=O,O=[N+]([O-])/C=C/c1ccccc1.CCC[C@@H](C=O)[C@H](C[N+](=O)[O-])c1ccccc1,CCCCC=O>>O=[N+]([O-])/C=C/c1ccccc1.CCC[C@@H](C=O)[C@H](C[N+](=O)[O-])c1ccccc1,"['110-62-3', '5153-67-3']",847040-89-5,31-254-CAS-7220061,1,1,100,1075721-52-6,67-66-3,"stereoselective, optimized on temperature,catalyst amount, optimization",Diversity-oriented synthesis towards conceptually new highly modular,"Quintard, Adrien; Bournaud, Chloee; Alexakis, Alexandre","Chemistry - A European Journal (2008), 14(25), 7504-7507",,,
CCCCC=O,O=[N+]([O-])/C=C/c1ccccc1.CCC[C@@H](C=O)[C@H](C[N+](=O)[O-])c1ccccc1,CCCCC=O>>O=[N+]([O-])/C=C/c1ccccc1.CCC[C@@H](C=O)[C@H](C[N+](=O)[O-])c1ccccc1,"['110-62-3', '5153-67-3']",847040-89-5,31-254-CAS-2008534,1,2,100,847153-21-3,"['68-12-2', '109-99-9', '7732-18-5']","regioselective, stereoselective, 77:23 syn:anti","The use of N-alkyl-2,2'-bipyrrolidine derivatives as organocatalysts for","Andrey, Olivier; Alexakis, Alexandre; Tomassini, Axel; Bernardinelli,","Advanced Synthesis & Catalysis (2004), 346(9 + 10), 1147-1168",7647-01-0,,
CCCCC=O,O=[N+]([O-])/C=C/c1ccccc1.CCC[C@@H](C=O)[C@H](C[N+](=O)[O-])c1ccccc1,CCCCC=O>>O=[N+]([O-])/C=C/c1ccccc1.CCC[C@@H](C=O)[C@H](C[N+](=O)[O-])c1ccccc1,"['110-62-3', '5153-67-3']",847040-89-5,31-254-CAS-15398810,1,2,100,847040-81-7,"['68-12-2', '109-99-9', '7732-18-5']","regioselective, stereoselective, 76:24 syn:anti","The use of N-alkyl-2,2'-bipyrrolidine derivatives as organocatalysts for","Andrey, Olivier; Alexakis, Alexandre; Tomassini, Axel; Bernardinelli,","Advanced Synthesis & Catalysis (2004), 346(9 + 10), 1147-1168",7647-01-0,,
CCCCC=O,O=[N+]([O-])/C=C/c1ccccc1.CCC[C@@H](C=O)[C@H](C[N+](=O)[O-])c1ccccc1,CCCCC=O>>O=[N+]([O-])/C=C/c1ccccc1.CCC[C@@H](C=O)[C@H](C[N+](=O)[O-])c1ccccc1,"['110-62-3', '5153-67-3']",847040-89-5,31-254-CAS-11142934,1,2,100,847040-79-3,"['68-12-2', '109-99-9', '7732-18-5']","regioselective, stereoselective, 76:24 syn:anti","The use of N-alkyl-2,2'-bipyrrolidine derivatives as organocatalysts for","Andrey, Olivier; Alexakis, Alexandre; Tomassini, Axel; Bernardinelli,","Advanced Synthesis & Catalysis (2004), 346(9 + 10), 1147-1168",7647-01-0,,
CCCCC=O,O=[N+]([O-])/C=C/c1ccccc1.CCC[C@@H](C=O)[C@H](C[N+](=O)[O-])c1ccccc1,CCCCC=O>>O=[N+]([O-])/C=C/c1ccccc1.CCC[C@@H](C=O)[C@H](C[N+](=O)[O-])c1ccccc1,"['110-62-3', '5153-67-3']",847040-89-5,31-254-CAS-13266636,1,2,100,847040-80-6,"['68-12-2', '109-99-9', '7732-18-5']","regioselective, stereoselective, 72:28 syn:anti","The use of N-alkyl-2,2'-bipyrrolidine derivatives as organocatalysts for","Andrey, Olivier; Alexakis, Alexandre; Tomassini, Axel; Bernardinelli,","Advanced Synthesis & Catalysis (2004), 346(9 + 10), 1147-1168",7647-01-0,,
C/C=C/C=O,COC(=O)C1CCCC1=O.COC(=O)[C@@]1([C@H](C)CC=O)CCCC1=O,C/C=C/C=O>>COC(=O)C1CCCC1=O.COC(=O)[C@@]1([C@H](C)CC=O)CCCC1=O,"['123-73-9', '10472-24-9']",1564276-93-2,31-254-CAS-10500025,1,1,100,848821-61-4,67-66-3,"stereoselective, Michael addition",An Iron/Amine-Catalyzed Cascade Process for the Enantioselective,"Quintard, Adrien; Constantieux, Thierry; Rodriguez, Jean","Angewandte Chemie, International Edition (2013), 52(49), 12883-12887",,,
N#CCC(N)=O,O=C1C=C(Cl)CCC1.N#CC(C(N)=O)C1=CC(=O)CCC1,N#CCC(N)=O>>O=C1C=C(Cl)CCC1.N#CC(C(N)=O)C1=CC(=O)CCC1,"['107-91-5', '5682-75-7']",56053-55-5,31-614-CAS-25849661,1,3,100,,"['111-96-6', '7732-18-5']","incremental addition (2-cyanoacetamide reactant, NaH and diglyme) in",Discovery of a Pyrimidinedione Derivative as a Potent and Orally,"Zhang, Hefeng; Peng, Xia; Dai, Yang; Shao, Jingwei; Ji, Yinchun; Sun,","Journal of Medicinal Chemistry (2021), 64(7), 3956-3975","['7646-69-7', '7647-01-0']",,
COC(=O)C1CCCC1=O,O=[N+]([O-])/C=C/c1ccccc1.COC(=O)[C@]1([C@H](C[N+](=O)[O-])c2ccccc2)CCCC1=O,COC(=O)C1CCCC1=O>>O=[N+]([O-])/C=C/c1ccccc1.COC(=O)[C@]1([C@H](C[N+](=O)[O-])c2ccccc2)CCCC1=O,"['10472-24-9', '5153-67-3']",1223091-39-1,31-254-CAS-13416580,1,2,100,1207339-83-0,109-99-9,"stereoselective, anti:syn = >20:1, ee 97%","Optically active dicobalt complexes and their solvates, and preparation","Shibazaki, Masakatsu; Matsunaga, Shigeki; Chen, Zhihua","Japan, JP2010095486 A 2010-04-30",,,
CCOC(=O)CC(=O)OCC,O=[N+]([O-])/C=C/c1ccccc1.CCOC(=O)C(C(=O)OCC)[C@H](C[N+](=O)[O-])c1ccccc1,CCOC(=O)CC(=O)OCC>>O=[N+]([O-])/C=C/c1ccccc1.CCOC(=O)C(C(=O)OCC)[C@H](C[N+](=O)[O-])c1ccccc1,"['105-53-3', '5153-67-3']",252338-27-5,31-254-CAS-16946145,1,1,100,1655520-24-3,,"stereoselective, no solvent, Michael addition, er 94:6, optimization",Supported bifunctional thioureas as recoverable and reusable catalysts,"Andres, Jose M.; Ceballos, Miriam; Maestro, Alicia; Sanz, Isabel;","Beilstein Journal of Organic Chemistry (2016), 12628-635",,,
CCCC=O,O=[N+]([O-])/C=C/c1ccccc1.CC[C@H](C=O)[C@@H](C[N+](=O)[O-])c1ccccc1,CCCC=O>>O=[N+]([O-])/C=C/c1ccccc1.CC[C@H](C=O)[C@@H](C[N+](=O)[O-])c1ccccc1,"['123-72-8', '5153-67-3']",475294-88-3,31-254-CAS-13745107,1,1,100,1448450-90-5,"['67-63-0', '67-66-3']","solid-supported catalyst, stereoselective, catalyst prepared and used,",Enamine Catalysis in Flow with an Immobilized Peptidic Catalyst,"Arakawa, Yukihiro; Wennemers, Helma","ChemSusChem (2013), 6(2), 242-245",,,resin-bound
CCCC=O,O=[N+]([O-])/C=C/c1ccccc1.CC[C@H](C=O)[C@@H](C[N+](=O)[O-])c1ccccc1,CCCC=O>>O=[N+]([O-])/C=C/c1ccccc1.CC[C@H](C=O)[C@@H](C[N+](=O)[O-])c1ccccc1,"['123-72-8', '5153-67-3']",475294-88-3,31-254-CAS-328427,1,1,100,1448450-91-6,"['67-63-0', '67-66-3']","solid-supported catalyst, stereoselective, catalyst prepared and used,",Enamine Catalysis in Flow with an Immobilized Peptidic Catalyst,"Arakawa, Yukihiro; Wennemers, Helma","ChemSusChem (2013), 6(2), 242-245",,,resin-bound
CCCC=O,O=[N+]([O-])/C=C/c1ccccc1.CC[C@H](C=O)[C@@H](C[N+](=O)[O-])c1ccccc1,CCCC=O>>O=[N+]([O-])/C=C/c1ccccc1.CC[C@H](C=O)[C@@H](C[N+](=O)[O-])c1ccccc1,"['123-72-8', '5153-67-3']",475294-88-3,31-254-CAS-11614300,1,1,100,1448450-89-2,"['67-63-0', '67-66-3']","solid-supported catalyst, stereoselective, catalyst prepared and used,",Enamine Catalysis in Flow with an Immobilized Peptidic Catalyst,"Arakawa, Yukihiro; Wennemers, Helma","ChemSusChem (2013), 6(2), 242-245",,,resin-bound
CCCC=O,O=[N+]([O-])/C=C/c1ccccc1.CC[C@H](C=O)[C@@H](C[N+](=O)[O-])c1ccccc1,CCCC=O>>O=[N+]([O-])/C=C/c1ccccc1.CC[C@H](C=O)[C@@H](C[N+](=O)[O-])c1ccccc1,"['123-72-8', '5153-67-3']",475294-88-3,31-254-CAS-2351812,1,1,100,1021646-82-1,"['67-63-0', '67-66-3']","solid-supported catalyst, stereoselective, TentaGel used, catalyst on",Efficient Recovery and Reuse of an Immobilized Peptidic Organocatalyst,"Arakawa, Yukihiro; Wiesner, Markus; Wennemers, Helma","Advanced Synthesis & Catalysis (2011), 353(8), 1201-1206",,,TentaGel supported
C=CC(=O)OC,CC(=O)C1CCOC1=O.COC(=O)CCC1(C(C)=O)CCOC1=O,C=CC(=O)OC>>CC(=O)C1CCOC1=O.COC(=O)CCC1(C(C)=O)CCOC1=O,"['96-33-3', '517-23-7']",280568-02-7,31-254-CAS-6965776,1,1,100,35589-04-9,7732-18-5,"Michael addn., yield depends on reaction conditions",Utilization of Nonionic Bases in Water as a Highly Efficient,"Bensa, David; Rodriguez, Jean","Synthetic Communications (2004), 34(8), 1515-1533",,General/Typical Procedure: Methyl 2-oxo-1-(3-oxo-butyl)-cyclopentane,
C=CC(C)=O,CCOC(=O)C1CCCC1=O.CCOC(=O)C1(CCC(C)=O)CCCC1=O,C=CC(C)=O>>CCOC(=O)C1CCCC1=O.CCOC(=O)C1(CCC(C)=O)CCCC1=O,"['78-94-4', '611-10-9']",61771-81-1,31-254-CAS-17418749,1,1,100,"['17950-40-2', '174677-80-6']",60-29-7,"stereoselective, 63% ee, Michael addition","(1S,2S)-N,N'-Bis(o-(diphenylphosphino)-benzylidene)cyclohexane-1,2-diamine","Gao, Jing-Xing; Yu, Shen-Luan; Li, Yan-Yun; Dong, Zhen-Rong","e-EROS Encyclopedia of Reagents for Organic Synthesis (2012), 1-6",,,
C=CC(C)=O,CCOC(=O)C1CCCC1=O.CCOC(=O)C1(CCC(C)=O)CCCC1=O,C=CC(C)=O>>CCOC(=O)C1CCCC1=O.CCOC(=O)C1(CCC(C)=O)CCCC1=O,"['78-94-4', '611-10-9']",61771-81-1,31-254-CAS-4825803,1,1,100,1135604-87-3,67-66-3,"regioselective, Michael addition, optimization study, optimized on",Rare [(NHC)2Ni-OH]-type terminal nickel hydroxo and [(NHC)2Ni]-type,"Samantaray, Manoja K.; Shaikh, Mobin M.; Ghosh, Prasenjit","Organometallics (2009), 28(7), 2267-2275",7782-44-7,General/Typical Procedure: General Procedure for the Michael Reaction. In,
CCC=O,O=[N+]([O-])/C=C/c1ccccc1.C[C@H](C=O)[C@@H](C[N+](=O)[O-])c1ccccc1,CCC=O>>O=[N+]([O-])/C=C/c1ccccc1.C[C@H](C=O)[C@@H](C[N+](=O)[O-])c1ccccc1,"['123-38-6', '5153-67-3']",475294-87-2,31-254-CAS-19890142,1,1,100,"['109-02-4', '2304835-15-0']",75-09-2,"stereoselective, catalyst prepared and used, 97% ee, syn:anti ratio 4:1,",Conformational Control of Tetrahydropyran-based Hybrid Dipeptide,"Borges-Gonzalez, Jorge; Garcia-Monzon, Irma; Martin, Tomas","Advanced Synthesis & Catalysis (2019), 361(9), 2141-2147",,,
CCC=O,O=[N+]([O-])/C=C/c1ccccc1.C[C@H](C=O)[C@@H](C[N+](=O)[O-])c1ccccc1,CCC=O>>O=[N+]([O-])/C=C/c1ccccc1.C[C@H](C=O)[C@@H](C[N+](=O)[O-])c1ccccc1,"['123-38-6', '5153-67-3']",475294-87-2,31-254-CAS-14024168,1,1,100,1448450-90-5,"['67-63-0', '67-66-3']","solid-supported catalyst, stereoselective, alternative reaction",Enamine Catalysis in Flow with an Immobilized Peptidic Catalyst,"Arakawa, Yukihiro; Wennemers, Helma","ChemSusChem (2013), 6(2), 242-245",,,resin-bound
CCC=O,O=[N+]([O-])/C=C/c1ccccc1.C[C@H](C=O)[C@@H](C[N+](=O)[O-])c1ccccc1,CCC=O>>O=[N+]([O-])/C=C/c1ccccc1.C[C@H](C=O)[C@@H](C[N+](=O)[O-])c1ccccc1,"['123-38-6', '5153-67-3']",475294-87-2,31-254-CAS-10419756,1,1,100,1021646-82-1,"['67-63-0', '67-66-3']","solid-supported catalyst, stereoselective, TentaGel used, catalyst on",Efficient Recovery and Reuse of an Immobilized Peptidic Organocatalyst,"Arakawa, Yukihiro; Wiesner, Markus; Wennemers, Helma","Advanced Synthesis & Catalysis (2011), 353(8), 1201-1206",,,TentaGel supported
O=C1CCCCC1,O=[N+]([O-])/C=C/c1ccccc1Cl.[H][C@@]1([C@@H](C[N+](=O)[O-])c2ccccc2Cl)CCCCC1=O,O=C1CCCCC1>>O=[N+]([O-])/C=C/c1ccccc1Cl.[H][C@@]1([C@@H](C[N+](=O)[O-])c2ccccc2Cl)CCCCC1=O,"['108-94-1', '22568-07-6']",889867-04-3,31-254-CAS-13915289,1,1,100,1261302-76-4,174501-65-6,"regioselective, stereoselective, ionic liquid used, Michael addition",Chiral quaternary alkylammonium ionic liquid [Pro-dabco][BF4]: as a,"Xu, Da-Zhen; Liu, Yingjun; Shi, Sen; Wang, Yongmei","Tetrahedron: Asymmetry (2010), 21(20), 2530-2534",,,
O=C1CCCCC1,O=[N+]([O-])/C=C/c1ccccc1Cl.[H][C@@]1([C@@H](C[N+](=O)[O-])c2ccccc2Cl)CCCCC1=O,O=C1CCCCC1>>O=[N+]([O-])/C=C/c1ccccc1Cl.[H][C@@]1([C@@H](C[N+](=O)[O-])c2ccccc2Cl)CCCCC1=O,"['108-94-1', '22568-07-6']",889867-04-3,31-254-CAS-6980809,1,1,100,898821-81-3,76-05-1,"stereoselective, ionic liquid, Michael addition",Functionalized chiral ionic liquids as highly efficient asymmetric,"Luo, Sanzhong; Mi, Xueling; Zhang, Long; Liu, Song; Xu, Hui; Cheng,","Angewandte Chemie, International Edition (2006), 45(19), 3093-3097",,,
CCOC(=O)CC(=O)OCC,O=[N+]([O-])/C=C/c1ccccc1.CCOC(=O)C(C(=O)OCC)C(C[N+](=O)[O-])c1ccccc1,CCOC(=O)CC(=O)OCC>>O=[N+]([O-])/C=C/c1ccccc1.CCOC(=O)C(C(=O)OCC)C(C[N+](=O)[O-])c1ccccc1,"['105-53-3', '5153-67-3']",22975-21-9,31-254-CAS-3073996,1,1,100,"['121-44-8', '1224046-56-3']",108-88-3,"regioselective, Michael addition, reaction unsuccessful using troger's","Thiourea derivatives of Troger's base: synthesis, enantioseparation and","Didier, Delphine; Sergeyev, Sergey","ARKIVOC (Gainesville, FL, United States) (2009), (14), 124-134",,,
C=CC(=O)OCC,CCOC(=O)C1CCCC1=O.CCOC(=O)CCC1(C(=O)OCC)CCCC1=O,C=CC(=O)OCC>>CCOC(=O)C1CCCC1=O.CCOC(=O)CCC1(C(=O)OCC)CCCC1=O,"['140-88-5', '611-10-9']",57026-64-9,31-254-CAS-6982681,1,1,100,1135604-87-3,67-66-3,"regioselective, Michael addition, optimization study, optimized on",Rare [(NHC)2Ni-OH]-type terminal nickel hydroxo and [(NHC)2Ni]-type,"Samantaray, Manoja K.; Shaikh, Mobin M.; Ghosh, Prasenjit","Organometallics (2009), 28(7), 2267-2275",7782-44-7,General/Typical Procedure: General Procedure for the Michael Reaction. In,
CC(C)C=O,O=[N+]([O-])/C=C/c1ccccc1.CC(C)(C=O)[C@@H](C[N+](=O)[O-])c1ccccc1,CC(C)C=O>>O=[N+]([O-])/C=C/c1ccccc1.CC(C)(C=O)[C@@H](C[N+](=O)[O-])c1ccccc1,"['78-84-2', '5153-67-3']",908585-83-1,31-254-CAS-6001114,1,2,100,"['1060-92-0', '1122-58-3', '4378-13-6']","['108-88-3', '7732-18-5']","stereoselective, yield depends on reaction conditions (cat and time)",Noncovalent Bifunctional Organocatalysts: Powerful Tools for Contiguous,"Nugent, Thomas C.; Sadiq, Abdul; Bibi, Ahtaram; Heine, Thomas; Zeonjuk,","Chemistry - A European Journal (2012), 18(13), 4088-4098,",,,
CC(C)C=O,O=[N+]([O-])/C=C/c1ccccc1.CC(C)(C=O)[C@@H](C[N+](=O)[O-])c1ccccc1,CC(C)C=O>>O=[N+]([O-])/C=C/c1ccccc1.CC(C)(C=O)[C@@H](C[N+](=O)[O-])c1ccccc1,"['78-84-2', '5153-67-3']",908585-83-1,31-254-CAS-10533753,1,2,100,"['65-45-2', '1310-58-3', '4378-13-6']","['108-88-3', '7732-18-5']","stereoselective, yield depends on reaction conditions (cat and time)",Noncovalent Bifunctional Organocatalysts: Powerful Tools for Contiguous,"Nugent, Thomas C.; Sadiq, Abdul; Bibi, Ahtaram; Heine, Thomas; Zeonjuk,","Chemistry - A European Journal (2012), 18(13), 4088-4098,",,,
CC(C)C=O,O=[N+]([O-])/C=C/c1ccccc1.CC(C)(C=O)[C@@H](C[N+](=O)[O-])c1ccccc1,CC(C)C=O>>O=[N+]([O-])/C=C/c1ccccc1.CC(C)(C=O)[C@@H](C[N+](=O)[O-])c1ccccc1,"['78-84-2', '5153-67-3']",908585-83-1,31-254-CAS-15117771,1,2,100,"['1310-58-3', '4378-13-6', '7803-58-9']","['108-88-3', '7732-18-5']","stereoselective, yield depends on reaction conditions (cat and time)",Noncovalent Bifunctional Organocatalysts: Powerful Tools for Contiguous,"Nugent, Thomas C.; Sadiq, Abdul; Bibi, Ahtaram; Heine, Thomas; Zeonjuk,","Chemistry - A European Journal (2012), 18(13), 4088-4098,",,,
CC(C)C=O,O=[N+]([O-])/C=C/c1ccccc1.CC(C)(C=O)[C@@H](C[N+](=O)[O-])c1ccccc1,CC(C)C=O>>O=[N+]([O-])/C=C/c1ccccc1.CC(C)(C=O)[C@@H](C[N+](=O)[O-])c1ccccc1,"['78-84-2', '5153-67-3']",908585-83-1,31-254-CAS-12997249,1,2,100,"['1310-65-2', '4378-13-6', '7803-58-9']","['108-88-3', '7732-18-5']","stereoselective, yield depends on reaction conditions (cat and time)",Noncovalent Bifunctional Organocatalysts: Powerful Tools for Contiguous,"Nugent, Thomas C.; Sadiq, Abdul; Bibi, Ahtaram; Heine, Thomas; Zeonjuk,","Chemistry - A European Journal (2012), 18(13), 4088-4098,",,,
C=CC=O,CC1C(=O)CCC1=O.CC1(CCC=O)C(=O)CCC1=O,C=CC=O>>CC1C(=O)CCC1=O.CC1(CCC=O)C(=O)CCC1=O,"['107-02-8', '765-69-5']",66976-99-6,31-254-CAS-6609015,1,1,100,,7732-18-5,Michael addition,Synthetic methods and intermediates for the preparation of xenicanes,"Williams, Lawrence J.; Drahl, Michael; Manpadi, Madhuri","United States, US8809558 B1 2014-08-19",64-19-7,,
C=CC=O,CC1C(=O)CCC1=O.CC1(CCC=O)C(=O)CCC1=O,C=CC=O>>CC1C(=O)CCC1=O.CC1(CCC=O)C(=O)CCC1=O,"['107-02-8', '765-69-5']",66976-99-6,31-254-CAS-15222631,1,1,100,,7732-18-5,Michael addition,Efficient Construction of Polycyclic Derivatives via a Highly Selective,"Deschamp, Julia; Riant, Olivier","Organic Letters (2009), 11(6), 1217-1220",,"To a suspension of the 2-methyl-1,3-cycloalkanedione (50 mmol) in water",
O=C1CCCCC1,O=[N+]([O-])/C=C/c1ccccc1.[H][C@@]1([C@@H](C[N+](=O)[O-])c2ccccc2)CCCCC1=O,O=C1CCCCC1>>O=[N+]([O-])/C=C/c1ccccc1.[H][C@@]1([C@@H](C[N+](=O)[O-])c2ccccc2)CCCCC1=O,"['108-94-1', '5153-67-3']",84025-83-2,31-254-CAS-18392795,1,2,100,2173591-25-6,108-88-3,"stereoselective, ee (99%), syn:anti = 97:3, optimization study, optimized",Michael addition of carbonyl compounds to nitroolefins under the,"Castan, A.; Badorrey, R.; Galvez, J. A.; Lopez-Ram-de-Viu, P.;","Organic & Biomolecular Chemistry (2018), 16(6), 924-935",,,
O=C1CCCCC1,O=[N+]([O-])/C=C/c1ccccc1.[H][C@@]1([C@@H](C[N+](=O)[O-])c2ccccc2)CCCCC1=O,O=C1CCCCC1>>O=[N+]([O-])/C=C/c1ccccc1.[H][C@@]1([C@@H](C[N+](=O)[O-])c2ccccc2)CCCCC1=O,"['108-94-1', '5153-67-3']",84025-83-2,31-254-CAS-8501680,1,1,100,"['62-23-7', '1771744-04-7']",7732-18-5,"green chemistry-catalyst, regioselective, stereoselective, alternative",4-Fluoro and 4-Hydroxy Pyrrolidine-thioxotetrahydropyrimidinones:,"Kaplanaris, Nikolaos; Koutoulogenis, Giorgos; Raftopoulou, Marianna;","Journal of Organic Chemistry (2015), 80(11), 5464-5473",,,
